Gene	Direction
ACTG1	EarlyDev
ADAMTS19	EarlyDev
AK7	EarlyDev
AMIGO2	EarlyDev
ANKRD50	EarlyDev
ANKRD6	EarlyDev
ARHGEF28	EarlyDev
ARMC10	EarlyDev
ARPC5	EarlyDev
ARPP19	EarlyDev
ATP2C2	EarlyDev
B3GNT2	EarlyDev
BHMT	EarlyDev
BRMS1L	EarlyDev
C10orf11	EarlyDev
C4orf50	EarlyDev
CACNA1H	EarlyDev
CACNA1S	EarlyDev
CARD11	EarlyDev
CARMIL3	EarlyDev
CASK	EarlyDev
CCBE1	EarlyDev
CCDC112	EarlyDev
CCDC90B	EarlyDev
CDC42SE2	EarlyDev
CHCHD6	EarlyDev
COG5	EarlyDev
CPEB2	EarlyDev
CPLX3	EarlyDev
CPNE6	EarlyDev
CPNE7	EarlyDev
CXADR	EarlyDev
CXXC4	EarlyDev
DENND2C	EarlyDev
DENR	EarlyDev
DNAJC25-GNG10	EarlyDev
DPYD	EarlyDev
DPYSL3	EarlyDev
DSEL	EarlyDev
DYDC2	EarlyDev
ENOX1	EarlyDev
ETNK2	EarlyDev
FAM65B	EarlyDev
FARP1	EarlyDev
FIBCD1	EarlyDev
FILIP1	EarlyDev
GABRA5	EarlyDev
GABRQ	EarlyDev
GALNT10	EarlyDev
GLT8D2	EarlyDev
GMFB	EarlyDev
GNB4	EarlyDev
GNG10	EarlyDev
GPM6A	EarlyDev
GPR160	EarlyDev
GRIN3A	EarlyDev
GRM3	EarlyDev
GRM8	EarlyDev
HINT3	EarlyDev
HRASLS	EarlyDev
HSBP1	EarlyDev
ISOC1	EarlyDev
KCNH7	EarlyDev
KCNK13	EarlyDev
KIRREL2	EarlyDev
L3MBTL4	EarlyDev
LINC01420	EarlyDev
LMO3	EarlyDev
LRP1B	EarlyDev
LRRC3	EarlyDev
LRRC7	EarlyDev
MAPK15	EarlyDev
MARCKS	EarlyDev
MEPE	EarlyDev
MFSD14A	EarlyDev
MMD	EarlyDev
MRPL23	EarlyDev
MSANTD3-TMEFF1	EarlyDev
MYO16	EarlyDev
NCAM2	EarlyDev
NELFE	EarlyDev
NKAIN4	EarlyDev
NMNAT1	EarlyDev
NPHS1	EarlyDev
NPY	EarlyDev
NPY1R	EarlyDev
NRAS	EarlyDev
NTSR1	EarlyDev
NUDT11	EarlyDev
PACRG	EarlyDev
PCDH10	EarlyDev
PCDH15	EarlyDev
PCDH20	EarlyDev
PCED1B	EarlyDev
PCYT1B	EarlyDev
PDGFC	EarlyDev
PDGFRA	EarlyDev
PGRMC1	EarlyDev
PI4K2B	EarlyDev
PLA2G12A	EarlyDev
PLPPR3	EarlyDev
PPP3R2	EarlyDev
PPP4R4	EarlyDev
PRMT2	EarlyDev
PROKR2	EarlyDev
PRR29	EarlyDev
PSENEN	EarlyDev
PTGER3	EarlyDev
PTPRA	EarlyDev
RAB40B	EarlyDev
RAP2B	EarlyDev
RASAL1	EarlyDev
RCN2	EarlyDev
RFK	EarlyDev
RILPL1	EarlyDev
RSPO3	EarlyDev
RSU1	EarlyDev
SCD5	EarlyDev
SCFD1	EarlyDev
SCN7A	EarlyDev
SCN9A	EarlyDev
SLC39A10	EarlyDev
SNCA	EarlyDev
SOX11	EarlyDev
SOX5	EarlyDev
SQLE	EarlyDev
SSTR1	EarlyDev
STUM	EarlyDev
STX12	EarlyDev
SUB1	EarlyDev
SUMO3	EarlyDev
SYT17	EarlyDev
TAF9B	EarlyDev
TBCA	EarlyDev
TERF1	EarlyDev
TEX15	EarlyDev
TINCR	EarlyDev
TKFC	EarlyDev
TLK1	EarlyDev
TMEFF1	EarlyDev
TMEFF2	EarlyDev
TMEM263	EarlyDev
TMSB10	EarlyDev
TNNT1	EarlyDev
TOX3	EarlyDev
TPM3	EarlyDev
TRABD2A	EarlyDev
TRAPPC6A	EarlyDev
TTC6	EarlyDev
TUBA1A	EarlyDev
TUBB2A	EarlyDev
TUBB2B	EarlyDev
TXN	EarlyDev
UBE2D2	EarlyDev
USP12	EarlyDev
USP14	EarlyDev
VAT1L	EarlyDev
VHL	EarlyDev
VSTM2B	EarlyDev
WDR17	EarlyDev
WDR31	EarlyDev
WNT16	EarlyDev
ZCCHC12	EarlyDev
ZCCHC17	EarlyDev
ZDHHC12	EarlyDev
ZNF626	EarlyDev
ZNF69	EarlyDev
AARS	Adult
ABCF2	Adult
ABT1	Adult
ACAN	Stable
ACTR1B	Adult
ACVR1C	Adult
ADAM9	Stable
ADAMTSL1	Adult
ADCY9	Adult
AFTPH	Adult
ALDH1A3	Adult
ANK1	Adult
ANKH	Adult
ANKRD9	Stable
ANKS6	Stable
