logFC	AveExpr	t	P.Value	adj.P.Val	B
ZC3HAV1	0.530799630811228	4.83139216533413	13.6638045484052	2.18409268677419e-37	2.6501780661318e-33	73.943394037746
HSPB1	0.678081703178906	5.20090711318511	13.3695808900813	4.8249632223616e-36	2.92730518700678e-32	70.8926389457034
HIST2H4A	0.319529942290878	3.91854761701128	12.5055167067497	3.43770500561263e-32	1.39043708460346e-28	62.1994474689881
BCCIP	0.223065488018558	4.97553550968499	12.4453493529726	6.2952050591293e-32	1.90965045468687e-28	61.6116385934015
UBE2L6	0.288100619951885	4.88551735008604	12.2530899987507	4.30057208388683e-31	1.04366283331766e-27	59.7162302712102
PLEKHA4	0.510161386101833	1.75808973128765	12.2197812381141	5.98845861784499e-31	1.21106594781552e-27	59.3946954918156
ARRDC3	0.389515348417248	5.99823961591845	11.7999403540541	3.70847327909918e-29	6.33182964917683e-26	55.3464035982478
ACTR1B	-0.217576140837896	6.81795152661032	-11.7877572758205	4.17460336190989e-29	6.33182964917683e-26	55.233761674821
FTL	0.343097701620707	9.25329926096288	11.7331942458089	7.08758126872521e-29	9.5556345683013e-26	54.7127969832787
SRGAP1	0.329566509308683	5.06443995046249	11.6591145617966	1.4505683563204e-28	1.76011964355917e-25	54.0126579569314
MDK	0.431530967675257	2.49621788927421	11.5286992499702	5.0827061453368e-28	5.60668694250152e-25	52.7809384618316
PCDHGA6	0.242860844878711	4.25010643176885	11.2969957149428	4.61246289300922e-27	4.66396872864782e-24	50.6187975030426
BAG3	0.66529156992288	4.60791865776713	11.1245649999384	2.33654026607023e-26	2.14738888070865e-23	49.0196230924754
FOXJ1	0.523650760438856	1.50600701578494	11.1183018197572	2.47762026783592e-26	2.14738888070865e-23	48.9682265162344
PSMG3	-0.226882564193891	4.57590437069297	-11.0111702573773	6.7312214714177e-26	5.44510942227882e-23	47.9897185636794
SLC2A4RG	0.26419213055222	3.37527122593798	10.9620722604651	1.06192860425438e-25	8.05340105251419e-23	47.5420560988193
TRIM25	0.26431506889269	5.04583508209371	10.8662997742899	2.57415675976753e-25	1.83734224253054e-22	46.6679311150778
BTG1	0.301705629817518	4.879107884098	10.6791925017204	1.4301394201087e-24	9.64072873533274e-22	44.989822400241
RPS19	0.208659312452748	6.83489685631425	10.6014613801485	2.89871930898237e-24	1.85121368922063e-21	44.2981804641394
NCBP1	0.127402072243899	6.01771639556066	10.485452093982	8.2659570422411e-24	5.01495613752768e-21	43.2729395605252
HIST1H3H	0.344377001945333	1.62860568140799	10.446559773449	1.17245432865339e-23	6.77455277327633e-21	42.9299959138152
RBM12B	0.145215599983759	6.27406976602601	10.4303499642187	1.35597337859739e-23	7.47880953450031e-21	42.7883162179692
P4HA1	0.36555771670614	4.94958768380097	10.4128274283777	1.5865186597922e-23	8.3699206164863e-21	42.6334913326211
ATAD1	-0.110752549712318	6.71875423850169	-10.3684929161194	2.35848707855427e-23	1.19241175879906e-20	42.2421599187387
NQO1	0.559746290417097	4.60587863634228	10.3304234418733	3.3119604073029e-23	1.60749310328854e-20	41.912182146799
