Gene	Direction
ACTG1	Negative
ADAMTS19	Negative
AK7	Negative
AMIGO2	Negative
ANKRD50	Negative
ANKRD6	Negative
ARHGEF28	Negative
ARMC10	Negative
ARPC5	Negative
ARPP19	Negative
ATP2C2	Negative
B3GNT2	Negative
BHMT	Negative
BRMS1L	Negative
C10orf11	Negative
C4orf50	Negative
CACNA1H	Negative
CACNA1S	Negative
CARD11	Negative
CARMIL3	Negative
CASK	Negative
CCBE1	Negative
CCDC112	Negative
CCDC90B	Negative
CDC42SE2	Negative
CHCHD6	Negative
COG5	Negative
CPEB2	Negative
CPLX3	Negative
CPNE6	Negative
CPNE7	Negative
CXADR	Negative
CXXC4	Negative
DENND2C	Negative
DENR	Negative
DNAJC25-GNG10	Negative
DPYD	Negative
DPYSL3	Negative
DSEL	Negative
DYDC2	Negative
ENOX1	Negative
ETNK2	Negative
FAM65B	Negative
FARP1	Negative
FIBCD1	Negative
FILIP1	Negative
GABRA5	Negative
GABRQ	Negative
GALNT10	Negative
GLT8D2	Negative
GMFB	Negative
GNB4	Negative
GNG10	Negative
GPM6A	Negative
GPR160	Negative
GRIN3A	Negative
GRM3	Negative
GRM8	Negative
HINT3	Negative
HRASLS	Negative
HSBP1	Negative
ISOC1	Negative
KCNH7	Negative
KCNK13	Negative
KIRREL2	Negative
L3MBTL4	Negative
LINC01420	Negative
LMO3	Negative
LRP1B	Negative
LRRC3	Negative
LRRC7	Negative
MAPK15	Negative
MARCKS	Negative
MEPE	Negative
MFSD14A	Negative
MMD	Negative
MRPL23	Negative
MSANTD3-TMEFF1	Negative
MYO16	Negative
NCAM2	Negative
NELFE	Negative
NKAIN4	Negative
NMNAT1	Negative
NPHS1	Negative
NPY	Negative
NPY1R	Negative
NRAS	Negative
NTSR1	Negative
NUDT11	Negative
PACRG	Negative
PCDH10	Negative
PCDH15	Negative
PCDH20	Negative
PCED1B	Negative
PCYT1B	Negative
PDGFC	Negative
PDGFRA	Negative
PGRMC1	Negative
PI4K2B	Negative
PLA2G12A	Negative
PLPPR3	Negative
PPP3R2	Negative
PPP4R4	Negative
PRMT2	Negative
PROKR2	Negative
PRR29	Negative
PSENEN	Negative
PTGER3	Negative
PTPRA	Negative
RAB40B	Negative
RAP2B	Negative
RASAL1	Negative
RCN2	Negative
RFK	Negative
RILPL1	Negative
RSPO3	Negative
RSU1	Negative
SCD5	Negative
SCFD1	Negative
SCN7A	Negative
SCN9A	Negative
SLC39A10	Negative
SNCA	Negative
SOX11	Negative
SOX5	Negative
SQLE	Negative
SSTR1	Negative
STUM	Negative
STX12	Negative
SUB1	Negative
SUMO3	Negative
SYT17	Negative
TAF9B	Negative
TBCA	Negative
TERF1	Negative
TEX15	Negative
TINCR	Negative
TKFC	Negative
TLK1	Negative
TMEFF1	Negative
TMEFF2	Negative
TMEM263	Negative
TMSB10	Negative
TNNT1	Negative
TOX3	Negative
TPM3	Negative
TRABD2A	Negative
TRAPPC6A	Negative
TTC6	Negative
TUBA1A	Negative
TUBB2A	Negative
TUBB2B	Negative
TXN	Negative
UBE2D2	Negative
USP12	Negative
USP14	Negative
VAT1L	Negative
VHL	Negative
VSTM2B	Negative
WDR17	Negative
WDR31	Negative
WNT16	Negative
ZCCHC12	Negative
ZCCHC17	Negative
ZDHHC12	Negative
ZNF626	Negative
ZNF69	Negative
AARS	Positive
ABCF2	Positive
ABT1	Positive
ACAN	Positive
ACTR1B	Positive
ACVR1C	Positive
ADAM9	Positive
ADAMTSL1	Positive
ADCY9	Positive
AFTPH	Positive
ALDH1A3	Positive
ANK1	Positive
ANKH	Positive
ANKRD9	Positive
ANKS6	Positive
ARG2	Positive
ARHGAP39	Positive
ARID5B	Positive
ATG16L1	Positive
AVPI1	Positive
BAG5	Positive
BEND6	Positive
BID	Positive
BMP4	Positive
C18orf25	Positive
C2orf42	Positive
C3orf18	Positive
C4orf33	Positive
C6orf47	Positive
C9orf72	Positive
CAMK2G	Positive
CARS	Positive
CCDC136	Positive
CCDC40	Positive
CCR10	Positive
CD274	Positive
CDON	Positive
CERK	Positive
CLEC16A	Positive
CNBD2	Positive
COL5A1	Positive
CRHR2	Positive
CYB5R4	Positive
DCAF1	Positive
DCLRE1A	Positive
DCP1A	Positive
DCPS	Positive
DEXI	Positive
DGCR14	Positive
DKK1	Positive
DNAJC16	Positive
DTX3	Positive
DUSP5	Positive
EMILIN3	Positive
EPRS	Positive
ERRFI1	Positive
ESRRA	Positive
ESRRG	Positive
ETV6	Positive
FAF1	Positive
FAM156B	Positive
FAM43A	Positive
FAM83D	Positive
FASTKD5	Positive
FBLN7	Positive
FBXO31	Positive
FBXO42	Positive
FES	Positive
FHDC1	Positive
FMN1	Positive
FNDC4	Positive
FOXO3	Positive
FRAT1	Positive
GFER	Positive
GLCCI1	Positive
GLIPR1	Positive
GOSR1	Positive
GPR161	Positive
GREB1	Positive
HDAC4	Positive
HERPUD1	Positive
HINFP	Positive
HIST1H3A	Positive
HIST1H3D	Positive
IER5	Positive
IFFO2	Positive
IFNLR1	Positive
IL15RA	Positive
INPP5A	Positive
IPO7	Positive
IRS1	Positive
JADE1	Positive
JAK1	Positive
JARID2	Positive
JDP2	Positive
JMJD6	Positive
KCNAB3	Positive
KCNC3	Positive
KCNJ11	Positive
KCNT1	Positive
KDM5C	Positive
KLF9	Positive
KLHL17	Positive
LACE1	Positive
LRRC59	Positive
LURAP1L	Positive
LUZP1	Positive
MAFB	Positive
MAGI3	Positive
MAP4K2	Positive
MFHAS1	Positive
MGST2	Positive
MIOS	Positive
MPP1	Positive
MRGBP	Positive
MSL2	Positive
MTCL1	Positive
MXD1	Positive
NCOA3	Positive
NEXN	Positive
NKX3-1	Positive
NPPC	Positive
NR2F6	Positive
NR3C1	Positive
NR3C2	Positive
NRBP1	Positive
NT5M	Positive
NUP153	Positive
OSBPL6	Positive
OXA1L	Positive
PANX2	Positive
PAPD7	Positive
PDIK1L	Positive
PELI3	Positive
PHF8	Positive
PHKG2	Positive
PIK3CA	Positive
PIK3R3	Positive
PIM1	Positive
PKD1	Positive
PLXDC1	Positive
PPL	Positive
PPTC7	Positive
PRDM11	Positive
PVALB	Positive
PXYLP1	Positive
RAB37	Positive
RCN3	Positive
RET	Positive
RGPD4	Positive
RNF111	Positive
RNF133	Positive
RNF168	Positive
RNF4	Positive
RORA	Positive
RP11-298A10.1	Positive
RPA1	Positive
SCN1B	Positive
SCRT1	Positive
SCRT2	Positive
SEMA6D	Positive
SEMA7A	Positive
SESN2	Positive
SETD7	Positive
SHD	Positive
SIX4	Positive
SKIDA1	Positive
SLC19A2	Positive
SLC25A25	Positive
SLC25A37	Positive
SLC25A5	Positive
SLC35A4	Positive
SLC38A1	Positive
SLC38A2	Positive
SLC39A14	Positive
SLC45A4	Positive
SLC4A8	Positive
SMCR8	Positive
SMG9	Positive
SNRK	Positive
SORL1	Positive
SPAG1	Positive
SRPRA	Positive
SRXN1	Positive
STAC2	Positive
STAMBPL1	Positive
STARD5	Positive
STAT4	Positive
STC2	Positive
STK11	Positive
STK26	Positive
STK38L	Positive
STRADA	Positive
STS	Positive
STX5	Positive
SUPT16H	Positive
TADA2B	Positive
TBC1D8	Positive
TCAF2	Positive
