Gene	Direction
ACTG1	Negative
AK7	Negative
ARPP19	Negative
CACNA1S	Negative
CCDC112	Negative
CCDC90B	Negative
CERS4	Negative
CHMP1A	Negative
CPNE7	Negative
CXorf57	Negative
DPYD	Negative
DPYSL3	Negative
DSEL	Negative
ENOX1	Negative
EPN2	Negative
ETNK2	Negative
FABP5	Negative
FAM65B	Negative
FARP1	Negative
FIBCD1	Negative
FILIP1	Negative
GABRA5	Negative
GABRQ	Negative
GALNT10	Negative
GLT8D2	Negative
GNAO1	Negative
GNB4	Negative
GNG10	Negative
GPR160	Negative
GRM3	Negative
HINT3	Negative
IL1RAPL2	Negative
ISOC1	Negative
KCNK13	Negative
KIRREL2	Negative
L3MBTL4	Negative
LAMA1	Negative
LINC01420	Negative
LRRC3	Negative
MAPK3	Negative
MARCKS	Negative
MFSD14A	Negative
MMD	Negative
NCAM2	Negative
NCAN	Negative
NELFE	Negative
NKAIN4	Negative
NMNAT1	Negative
NPHS1	Negative
NPY	Negative
NPY1R	Negative
NRAS	Negative
PCED1B	Negative
PCYT1B	Negative
PDGFC	Negative
PEA15	Negative
PGRMC1	Negative
PHACTR3	Negative
PLPPR3	Negative
PRMT2	Negative
PROKR2	Negative
PTPRA	Negative
RAB40B	Negative
RASAL1	Negative
RFK	Negative
RILPL1	Negative
RSPO3	Negative
RSU1	Negative
SCD5	Negative
SCN9A	Negative
SDC3	Negative
SDK2	Negative
SH3RF1	Negative
SLC39A6	Negative
SOX11	Negative
SQLE	Negative
STX12	Negative
SYNJ2BP	Negative
SYT17	Negative
TAF9B	Negative
TBCA	Negative
TIMP2	Negative
TKFC	Negative
TMEFF1	Negative
TMEFF2	Negative
TMSB10	Negative
TPM3	Negative
TRABD2A	Negative
TUBA1A	Negative
TUBB	Negative
TUBB2A	Negative
TUBB2B	Negative
UBE2D2	Negative
WNT16	Negative
WRB	Negative
ABCB9	Positive
ABCF2	Positive
ACAN	Positive
ACTR1B	Positive
ACVR1C	Positive
ADAMTS5	Positive
ADCY9	Positive
