Gene	Clusters
ACTG1	EarlyDev
AK7	EarlyDev
ARPP19	EarlyDev
CACNA1S	EarlyDev
CCDC112	EarlyDev
CCDC90B	EarlyDev
CERS4	EarlyDev
CHMP1A	EarlyDev
CPNE7	EarlyDev
CXorf57	EarlyDev
DPYD	EarlyDev
DPYSL3	EarlyDev
DSEL	EarlyDev
ENOX1	EarlyDev
EPN2	EarlyDev
ETNK2	EarlyDev
FABP5	EarlyDev
FAM65B	EarlyDev
FARP1	EarlyDev
FIBCD1	EarlyDev
FILIP1	EarlyDev
GABRA5	EarlyDev
GABRQ	EarlyDev
GALNT10	EarlyDev
GLT8D2	EarlyDev
GNAO1	EarlyDev
GNB4	EarlyDev
GNG10	EarlyDev
GPR160	EarlyDev
GRM3	EarlyDev
HINT3	EarlyDev
IL1RAPL2	EarlyDev
ISOC1	EarlyDev
KCNK13	EarlyDev
KIRREL2	EarlyDev
L3MBTL4	EarlyDev
LAMA1	EarlyDev
LINC01420	EarlyDev
LRRC3	EarlyDev
MAPK3	EarlyDev
MARCKS	EarlyDev
MFSD14A	EarlyDev
MMD	EarlyDev
NCAM2	EarlyDev
NCAN	EarlyDev
NELFE	EarlyDev
NKAIN4	EarlyDev
NMNAT1	EarlyDev
NPHS1	EarlyDev
NPY	EarlyDev
NPY1R	EarlyDev
NRAS	EarlyDev
PCED1B	EarlyDev
PCYT1B	EarlyDev
PDGFC	EarlyDev
PEA15	EarlyDev
PGRMC1	EarlyDev
PHACTR3	EarlyDev
PLPPR3	EarlyDev
PRMT2	EarlyDev
PROKR2	EarlyDev
PTPRA	EarlyDev
RAB40B	EarlyDev
RASAL1	EarlyDev
RFK	EarlyDev
RILPL1	EarlyDev
RSPO3	EarlyDev
RSU1	EarlyDev
SCD5	EarlyDev
SCN9A	EarlyDev
SDC3	EarlyDev
SDK2	EarlyDev
SH3RF1	EarlyDev
SLC39A6	EarlyDev
SOX11	EarlyDev
SQLE	EarlyDev
STX12	EarlyDev
SYNJ2BP	EarlyDev
SYT17	EarlyDev
TAF9B	EarlyDev
TBCA	EarlyDev
TIMP2	EarlyDev
TKFC	EarlyDev
TMEFF1	EarlyDev
TMEFF2	EarlyDev
TMSB10	EarlyDev
TPM3	EarlyDev
TRABD2A	EarlyDev
TUBA1A	EarlyDev
TUBB	EarlyDev
TUBB2A	EarlyDev
TUBB2B	EarlyDev
UBE2D2	EarlyDev
WNT16	EarlyDev
WRB	EarlyDev
ABCB9	Adult
ABCF2	Adult
ACAN	Stable
ACTR1B	Adult
ACVR1C	Adult
ADAMTS5	Adult
ADCY9	Adult
ALDH1A3	Adult
ANK1	Adult
ANKH	Adult
ANKRD62	Adult
ANKRD9	Stable
AP5M1	Adult
ARG2	Adult
ARHGEF10L	Stable
ARHGEF11	Adult
ARL5B	Stable
ARMC9	Adult
ARNTL	Stable
ATP5A1	Adult
AVPI1	Adult
BAG5	Adult
BEND6	Adult
BID	Adult
BMP4	Stable
BMS1	Stable
C16orf52	Adult
C17orf107	Adult
C18orf25	Adult
C2orf42	Stable
C3orf18	Adult
CAMK2G	Adult
CAMTA1	Adult
CCDC136	Adult
CCDC39	Adult
CCDC40	Stable
CD274	Stable
CDADC1	Adult
CDS1	Adult
CERK	Adult
CFC1	Adult
CLEC16A	Stable
CLUAP1	Adult
CNOT6L	Stable
COL5A1	Stable
CREBRF	Stable
CSDC2	Adult
CTXN2	Adult
CYB5R4	Stable
DCAF1	Stable
DCBLD2	Adult
DCLRE1A	Stable
DCP1A	Stable
DENND1B	Adult
DEXI	Adult
DGCR14	Stable
DKK1	Stable
DNAJC16	Adult
DNAJC4	Adult
DTX3	Adult
DUSP5	Stable
EMILIN3	Stable
ENTPD4	Adult
EPRS	Adult
ESRRA	Adult
ESRRG	Adult
EXTL2	Adult
FAM110A	Stable
FAM156B	Adult
FAM208B	Stable
FAM216A	Adult
FASTKD5	Adult
FBLN7	Adult
FES	Stable
FGF9	Adult
FHDC1	Adult
FMN1	Adult
FOCAD	Adult
FRAT1	Stable
GCHFR	Adult
GFER	Stable
GFM1	Adult
GLCCI1	Adult
