GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
8	GO:0006367	0.00316046181165954	4.46555555555556	1.43059455499939	6	186	transcription initiation from RNA polymerase II promoter	ESRRA;ESRRG;NR2F6;NR3C1;NR3C2;NRBP1	0.409763242322349
13	GO:0030073	0.00531764702366306	3.99378109452736	1.59211329507997	6	207	insulin secretion	ACVR1C;CAMK2G;CYB5R4;IRS1;KCNJ11;SLC25A5	0.409763242322349
48	GO:0097191	0.00773157636521855	3.67844036697248	1.72286656085948	6	224	extrinsic apoptotic signaling pathway	BID;FAF1;FOXO3;PELI3;RET;SCRT2	0.409763242322349
49	GO:0006352	0.0080600948803969	3.64454545454545	1.73824929801001	6	226	DNA-templated transcription, initiation	ESRRA;ESRRG;NR2F6;NR3C1;NR3C2;NRBP1	0.409763242322349
53	GO:0050767	0.00922953716928833	2.24032009986402	6.20693444023929	13	807	regulation of neurogenesis	BAG5;BEND6;CAMK2G;CDON;FBXO31;FOXO3;RET;SCN1B;SCRT1;SCRT2;SEMA6D;SEMA7A;SORL1	0.409763242322349
59	GO:0051960	0.0108737190590728	2.12527685492802	7.0529849835185	14	917	regulation of nervous system development	BAG5;BEND6;CAMK2G;CDON;FBXO31;FOXO3;GPR161;RET;SCN1B;SCRT1;SCRT2;SEMA6D;SEMA7A;SORL1	0.409763242322349
61	GO:0060284	0.0117724325392399	2.1030701754386	7.12220730069589	14	926	regulation of cell development	BAG5;BEND6;CAMK2G;CDON;FBXO31;FOXO3;NPPC;RET;SCN1B;SCRT1;SCRT2;SEMA6D;SEMA7A;SORL1	0.409763242322349
64	GO:0030072	0.013057656471879	3.26755102040816	1.93053351239165	6	251	peptide hormone secretion	ACVR1C;CAMK2G;CYB5R4;IRS1;KCNJ11;SLC25A5	0.409763242322349
109	GO:0043434	0.0182882323848659	2.53764474896823	3.31497985593945	8	431	response to peptide hormone	ACVR1C;ADCY9;CRHR2;ESRRA;FOXO3;IRS1;SORL1;STAT4	0.409763242322349
113	GO:0009896	0.0201724993783766	2.48928388847379	3.37651080454157	8	439	positive regulation of catabolic process	C9orf72;FAF1;FOXO3;IRS1;PHKG2;SMCR8;SORL1;TICAM1	0.409763242322349
116	GO:0007154	0.020939686754895	1.4649142022636	48.3402514955439	60	6285	cell communication	ACVR1C;ADCY9;ANK1;ARHGAP39;AVPI1;BAG5;BEND6;BID;C9orf72;CAMK2G;CCR10;CDON;CRHR2;CYB5R4;DTX3;ESRRA;ESRRG;FAF1;FOXO3;GPR161;INPP5A;IRS1;JADE1;KCNJ11;LRRC59;MAGI3;MAP4K2;MPP1;NPPC;NR3C1;NR3C2;NRBP1;PANX2;PELI3;PKD1;PRDM11;RET;RNF111;SCN1B;SCRT2;SEMA6D;SEMA7A;SLC25A5;SLC4A8;SMCR8;SNRK;SORL1;SRPRA;STAC2;STAT4;STK26;SUPT16H;TDP2;TICAM1;TLE2;TTI1;UPP1;VAMP1;ZNF304;ZYX	0.409763242322349
149	GO:0023061	0.0256516327368169	2.2430426716141	4.21486997924551	9	548	signal release	ACVR1C;CAMK2G;CYB5R4;IRS1;KCNJ11;SLC25A5;SLC4A8;SORL1;VAMP1	0.409763242322349
154	GO:0031331	0.0265509709345314	2.52559618441971	2.89964595287511	7	377	positive regulation of cellular catabolic process	C9orf72;FAF1;FOXO3;IRS1;PHKG2;SMCR8;TICAM1	0.409763242322349
