GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
3	GO:0007268	0.00106033429644573	2.69653179190751	6.04199731412526	15	707	chemical synaptic transmission	CASK;CPLX3;CPNE6;GABRA5;GABRQ;GRIN3A;GRM3;GRM8;NPY;NTSR1;PTPRA;SNCA;SYT17;TUBB2B;USP14	0.315598468757807
4	GO:0098916	0.00106033429644573	2.69653179190751	6.04199731412526	15	707	anterograde trans-synaptic signaling	CASK;CPLX3;CPNE6;GABRA5;GABRQ;GRIN3A;GRM3;GRM8;NPY;NTSR1;PTPRA;SNCA;SYT17;TUBB2B;USP14	0.315598468757807
6	GO:0099537	0.00118633574224849	2.66434285714286	6.11036503479429	15	715	trans-synaptic signaling	CASK;CPLX3;CPNE6;GABRA5;GABRQ;GRIN3A;GRM3;GRM8;NPY;NTSR1;PTPRA;SNCA;SYT17;TUBB2B;USP14	0.315598468757807
8	GO:0099536	0.00155783121606801	2.587	6.28128433646685	15	735	synaptic signaling	CASK;CPLX3;CPNE6;GABRA5;GABRQ;GRIN3A;GRM3;GRM8;NPY;NTSR1;PTPRA;SNCA;SYT17;TUBB2B;USP14	0.315598468757807
13	GO:0019637	0.00203103589079631	2.30774657350175	8.4946892931266	18	994	organophosphate metabolic process	AK7;CARD11;CASK;CPNE6;CPNE7;ETNK2;NMNAT1;NTSR1;NUDT11;PCYT1B;PDGFRA;PI4K2B;PLA2G12A;PLPPR3;RFK;SCD5;SNCA;TKFC	0.315598468757807
15	GO:0090407	0.00257287547395655	2.75239485981308	4.67464290074472	12	547	organophosphate biosynthetic process	AK7;CPNE6;CPNE7;ETNK2;NMNAT1;NTSR1;PCYT1B;PI4K2B;PLA2G12A;RFK;SCD5;SNCA	0.315598468757807
20	GO:0042391	0.00333775664595618	2.96294216732173	3.59785130020754	10	421	regulation of membrane potential	CACNA1H;CXADR;GABRA5;GABRQ;GRIN3A;KCNH7;KCNK13;NTSR1;SCN7A;SCN9A	0.315598468757807
25	GO:0043269	0.00520523223063995	2.4090682018222	5.76852643144915	13	675	regulation of ion transport	ATP2C2;CACNA1H;CACNA1S;CASK;KCNH7;KCNK13;LRRC7;NKAIN4;NTSR1;SCN7A;SCN9A;SNCA;SYT17	0.315598468757807
31	GO:0071248	0.00585523179135062	3.90768981181051	1.62373336588939	6	190	cellular response to metal ion	CACNA1H;CPNE6;CPNE7;RASAL1;SNCA;SYT17	0.315598468757807
36	GO:0016050	0.00685500661478378	3.04464200363254	2.77743865217922	8	325	vesicle organization	CPLX3;MAPK15;MFSD14A;PI4K2B;SCFD1;SNCA;STX12;TRAPPC6A	0.315598468757807
37	GO:0099504	0.00695239847707097	3.76283503946237	1.68355512147479	6	197	synaptic vesicle cycle	ACTG1;CASK;CPLX3;GRIN3A;SNCA;SYT17	0.315598468757807
40	GO:0032989	0.00739453965919543	2.2265400115141	6.7171285557319	14	786	cellular component morphogenesis	ACTG1;B3GNT2;CPNE6;FARP1;GPM6A;MFSD14A;MYO16;PDGFRA;PTPRA;RASAL1;SYT17;TMEFF1;TNNT1;TUBB2B	0.315598468757807
41	GO:0006796	0.00750797433645644	1.64024696492266	26.7830545720913	39	3134	phosphate-containing compound metabolic process	AK7;ANKRD6;ARPP19;CARD11;CASK;CPNE6;CPNE7;ETNK2;FARP1;GMFB;KIRREL2;LMO3;LRRC7;MAPK15;MMD;NELFE;NMNAT1;NPHS1;NRAS;NTSR1;NUDT11;PCYT1B;PDGFC;PDGFRA;PI4K2B;PLA2G12A;PLPPR3;PPP4R4;PTPRA;RAP2B;RASAL1;RFK;SCD5;SLC39A10;SNCA;TKFC;TLK1;TXN;WNT16	0.315598468757807
46	GO:0007015	0.00818442942414544	2.74203472609456	3.46966182395312	9	406	actin filament organization	ACTG1;ARPC5;DPYSL3;GMFB;MARCKS;NPHS1;TMEFF2;TMSB10;TPM3	0.315598468757807
48	GO:0032879	0.00850659454016869	1.66843891158227	22.6724453668661	34	2653	regulation of localization	ACTG1;ARPP19;ATP2C2;CACNA1H;CACNA1S;CASK;CCBE1;CPLX3;DPYSL3;GRIN3A;KCNH7;KCNK13;LRRC7;MAPK15;MMD;NKAIN4;NPHS1;NTSR1;PDGFC;PDGFRA;PTGER3;RAP2B;SCFD1;SCN7A;SCN9A;SNCA;SOX11;SUMO3;SYT17;TERF1;TMEFF2;TMSB10;TUBB2B;TXN	0.315598468757807
77	GO:0006793	0.00861740499799685	1.62336582905327	27.0052496642657	39	3160	phosphorus metabolic process	AK7;ANKRD6;ARPP19;CARD11;CASK;CPNE6;CPNE7;ETNK2;FARP1;GMFB;KIRREL2;LMO3;LRRC7;MAPK15;MMD;NELFE;NMNAT1;NPHS1;NRAS;NTSR1;NUDT11;PCYT1B;PDGFC;PDGFRA;PI4K2B;PLA2G12A;PLPPR3;PPP4R4;PTPRA;RAP2B;RASAL1;RFK;SCD5;SLC39A10;SNCA;TKFC;TLK1;TXN;WNT16	0.315598468757807
79	GO:0098660	0.00979289810777258	2.14754554303991	6.94786961298987	14	813	inorganic ion transmembrane transport	ATP2C2;CACNA1H;CACNA1S;GABRA5;GABRQ;GPM6A;GRIN3A;KCNH7;KCNK13;NTSR1;SCN7A;SCN9A;SLC39A10;SNCA	0.347300280559822
81	GO:0017157	0.0102273340285724	3.45163605051665	1.82883652789647	6	214	regulation of exocytosis	CACNA1H;CASK;CPLX3;GRIN3A;SNCA;SYT17	0.347300280559822
82	GO:0071241	0.0104489927204855	3.4349068056845	1.8373824929801	6	215	cellular response to inorganic substance	CACNA1H;CPNE6;CPNE7;RASAL1;SNCA;SYT17	0.347300280559822
