GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0051171	2.44374931420873e-07	3.00614239181014	30.3149798559394	54	5580	regulation of nitrogen compound metabolic process	ADAM9;ARID5B;BMP4;CLEC16A;DCAF1;DCP1A;DKK1;DUSP5;ERRFI1;ETV6;FAM83D;HDAC4;HERPUD1;HINFP;IPO7;JARID2;JDP2;JMJD6;KLF9;MAFB;MFHAS1;MXD1;NCOA3;NKX3-1;NUP153;PHF8;PIK3CA;PIK3R3;PIM1;RCN3;RNF168;RNF4;RORA;SESN2;SETD7;SIX4;SLC38A2;STK11;STX5;TADA2B;TNIP1;TRAF7;TRIM25;TSC22D3;USF2;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.00021374603375503
2	GO:0006357	2.73520382486518e-07	3.3537254326782	13.408130875351	33	2468	regulation of transcription by RNA polymerase II	ARID5B;BMP4;DCAF1;DKK1;ETV6;HDAC4;HINFP;JARID2;JDP2;JMJD6;KLF9;MAFB;MXD1;NCOA3;NKX3-1;RNF168;RNF4;RORA;SESN2;SIX4;TADA2B;TNIP1;TSC22D3;USF2;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.00021374603375503
3	GO:0060255	2.74400484518194e-07	3.00942452129416	33.2215236234892	57	6115	regulation of macromolecule metabolic process	ADAM9;ARID5B;BMP4;CD274;CLEC16A;DCAF1;DCP1A;DKK1;DUSP5;ERRFI1;ETV6;FAM83D;HDAC4;HERPUD1;HINFP;IPO7;JARID2;JDP2;JMJD6;KLF9;MAFB;MFHAS1;MXD1;NCOA3;NKX3-1;NUP153;PHF8;PIK3CA;PIK3R3;PIM1;RCN3;RNF168;RNF4;RORA;SESN2;SETD7;SIX4;SLC38A2;SMG9;STC2;STK11;STX5;TADA2B;TNIP1;TRAF7;TRIM25;TSC22D3;USF2;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.00021374603375503
4	GO:0006366	2.85381864461545e-07	3.30395072217502	14.1361250152607	34	2602	transcription by RNA polymerase II	ARID5B;BMP4;DCAF1;DKK1;ETV6;HDAC4;HINFP;JARID2;JDP2;JMJD6;KLF9;MAFB;MXD1;NCOA3;NKX3-1;RNF168;RNF4;RORA;SESN2;SIX4;TADA2B;TNIP1;TSC22D3;USF2;WDR33;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.00021374603375503
5	GO:0044260	3.51787415660023e-07	3.1523083126134	42.538762055915	66	7830	cellular macromolecule metabolic process	ACAN;ADAM9;ANKRD9;ARID5B;BMP4;CLEC16A;DCAF1;DCP1A;DKK1;DUSP5;ERRFI1;ETV6;FAM83D;FES;HDAC4;HERPUD1;HINFP;IPO7;JAK1;JARID2;JDP2;JMJD6;KLF9;MAFB;MFHAS1;MSL2;MXD1;NCOA3;NKX3-1;NUP153;OXA1L;PHF8;PIK3CA;PIK3R3;PIM1;RCN3;RNF168;RNF4;RORA;RPA1;SESN2;SETD7;SIX4;SMG9;STC2;STK11;STK38L;TADA2B;TNIP1;TRAF7;TRIM25;TSC22D3;UBAP1;USF2;USP28;USP45;WDR33;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.00021374603375503
6	GO:0080090	7.96489771010242e-07	2.8595546659995	31.314613600293	54	5764	regulation of primary metabolic process	ADAM9;ARID5B;BMP4;CLEC16A;DCAF1;DCP1A;DKK1;DUSP5;ERRFI1;ETV6;FAM83D;HDAC4;HERPUD1;HINFP;IPO7;JARID2;JDP2;JMJD6;KLF9;MAFB;MFHAS1;MXD1;NCOA3;NKX3-1;NUP153;PHF8;PIK3CA;PIK3R3;PIM1;RCN3;RNF168;RNF4;RORA;SESN2;SETD7;SIX4;SLC38A2;STK11;STX5;TADA2B;TNIP1;TRAF7;TRIM25;TSC22D3;USF2;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.000403289320721519
7	GO:0051173	1.39609312873502e-06	2.98651933977888	16.5971798315224	36	3055	positive regulation of nitrogen compound metabolic process	ADAM9;ARID5B;BMP4;DKK1;DUSP5;ETV6;HDAC4;HERPUD1;HINFP;JARID2;JDP2;JMJD6;MAFB;MFHAS1;NCOA3;NKX3-1;PHF8;PIK3CA;PIK3R3;PIM1;RCN3;RNF168;RNF4;RORA;SESN2;SETD7;SIX4;SLC38A2;STK11;STX5;TADA2B;TNIP1;TRAF7;USF2;ZBTB16;ZBTB38	0.000605904417871
8	GO:0010468	2.11027878052816e-06	2.75757575757576	24.990843608839	46	4600	regulation of gene expression	ARID5B;BMP4;CD274;DCAF1;DCP1A;DKK1;ERRFI1;ETV6;HDAC4;HINFP;JARID2;JDP2;JMJD6;KLF9;MAFB;MXD1;NCOA3;NKX3-1;NUP153;PHF8;PIK3CA;PIK3R3;PIM1;RNF168;RNF4;RORA;SESN2;SETD7;SIX4;SLC38A2;SMG9;STC2;TADA2B;TNIP1;TRIM25;TSC22D3;USF2;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.000625559538772012
9	GO:0019219	2.12600810237813e-06	2.81687989096984	20.8184592845806	41	3832	regulation of nucleobase-containing compound metabolic process	ARID5B;BMP4;DCAF1;DCP1A;DKK1;ETV6;HDAC4;HINFP;JARID2;JDP2;JMJD6;KLF9;MAFB;MXD1;NCOA3;NKX3-1;NUP153;PHF8;PIK3CA;PIM1;RNF168;RNF4;RORA;SESN2;SETD7;SIX4;SLC38A2;TADA2B;TNIP1;TRIM25;TSC22D3;USF2;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.000625559538772012
10	GO:0019222	2.14736197966722e-06	2.7646279726866	36.0411427176169	58	6634	regulation of metabolic process	ADAM9;ARID5B;BMP4;CD274;CLEC16A;DCAF1;DCP1A;DKK1;DUSP5;ERRFI1;ETV6;FAM83D;HDAC4;HERPUD1;HINFP;IPO7;JARID2;JDP2;JMJD6;KLF9;MAFB;MFHAS1;MXD1;NCOA3;NKX3-1;NUP153;OXA1L;PHF8;PIK3CA;PIK3R3;PIM1;RCN3;RNF168;RNF4;RORA;SESN2;SETD7;SIX4;SLC38A2;SMG9;STC2;STK11;STX5;TADA2B;TNIP1;TRAF7;TRIM25;TSC22D3;USF2;ZBTB16;ZBTB34;ZBTB38;ZBTB43;ZKSCAN5;ZNF324;ZNF740;ZNF805;ZNFX1	0.000625559538772012
