GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0044304	1.18547023606721e-06	14.9341932087391	0.54675118858954	7	65	main axon	ANK1;KCNA1;KCNA2;KCNC1;KCNJ11;SCN1A;SCN1B	0.000487228267023625
3	GO:0036477	0.000322454486329871	2.93423779913322	5.98902840424235	16	712	somatodendritic compartment	ADCY9;GCHFR;KCNA1;KCNA2;KCNC1;KCNC3;KCNJ11;LRRC4;NSG1;PLXDC1;PPT1;PVALB;RET;SCN1A;SCN1B;TACR1	0.0284631134455911
8	GO:0034703	0.000773134028078716	5.03008794250257	1.49725710106059	7	178	cation channel complex	KCNA1;KCNA2;KCNC1;KCNC3;KCNJ11;PKD1;SCN1B	0.0364257165075353
10	GO:0044297	0.00136297945187992	2.98494745810849	4.33195172497867	12	515	cell body	KCNA1;KCNA2;KCNC1;KCNC3;KCNJ11;PLXDC1;PPT1;PVALB;RET;SCN1A;SCN1B;TACR1	0.0534084875716345
11	GO:0043025	0.00142942424157659	3.1377322113912	3.76837742289406	11	448	neuronal cell body	KCNA1;KCNA2;KCNC1;KCNC3;KCNJ11;PLXDC1;PPT1;PVALB;RET;SCN1A;SCN1B	0.0534084875716345
12	GO:0043005	0.00159405046507295	2.30935872447838	9.00877727660612	19	1071	neuron projection	ADCY9;ANK1;GCHFR;KCNA1;KCNA2;KCNC1;KCNC3;KCNJ11;LRRC4;MPP1;NSG1;PLXDC1;PPT1;PVALB;RET;SCN1A;SCN1B;TACR1;VAMP1	0.0545962284287484
13	GO:0016021	0.001840098131449	1.70831192189106	37.8688284773863	54	4502	integral component of membrane	ABCB9;ACVR1C;ADCY9;ANKH;BID;C3orf18;CCDC136;CDS1;CERK;CTXN2;DCBLD2;DNAJC16;DNAJC4;ENTPD4;EXTL2;FAM156B;FOCAD;GRAMD1B;ICMT;IRS1;KCNA1;KCNA2;KCNAB3;KCNC1;KCNC3;KCNJ11;LRRC4;LRRC59;MFSD3;NCR3LG1;NSG1;P4HTM;PANX2;PKD1;PLXDC1;PXYLP1;RET;SCN1B;SLC25A25;SLC25A5;SLC38A1;SLC45A4;SORL1;SPTSSB;STS;SYT12;SYT2;TACR1;TMEM132E;TMEM25;TMPPE;TRPC3;VAMP1;XKR6	0.0581754101558106
14	GO:0044425	0.00209573315889372	1.66242937853107	49.1907838595636	66	5848	membrane part	ABCB9;ACVR1C;ADCY9;ANK1;ANKH;AP5M1;BID;C3orf18;CAMK2G;CCDC136;CDS1;CERK;CFC1;CTXN2;DCBLD2;DNAJC16;DNAJC4;ENTPD4;EXTL2;FAM156B;FOCAD;GRAMD1B;ICMT;IRS1;KCNA1;KCNA2;KCNAB3;KCNC1;KCNC3;KCNJ11;LRRC4;LRRC59;MAP4K2;MFSD3;MTCL1;NCR3LG1;NR3C2;NSG1;OSBPL6;P4HTM;PANX2;PKD1;PLXDC1;PPT1;PXYLP1;RANBP2;RET;SCN1A;SCN1B;SLC25A25;SLC25A5;SLC38A1;SLC45A4;SORL1;SPTSSB;STK26;STS;SYT12;SYT2;TACR1;TMEM132E;TMEM25;TMPPE;TRPC3;VAMP1;XKR6	0.0615247377360941
15	GO:0031224	0.00230944231114154	1.68184700524586	39.1389735462636	55	4653	intrinsic component of membrane	ABCB9;ACVR1C;ADCY9;ANKH;BID;C3orf18;CCDC136;CDS1;CERK;CFC1;CTXN2;DCBLD2;DNAJC16;DNAJC4;ENTPD4;EXTL2;FAM156B;FOCAD;GRAMD1B;ICMT;IRS1;KCNA1;KCNA2;KCNAB3;KCNC1;KCNC3;KCNJ11;LRRC4;LRRC59;MFSD3;NCR3LG1;NSG1;P4HTM;PANX2;PKD1;PLXDC1;PXYLP1;RET;SCN1B;SLC25A25;SLC25A5;SLC38A1;SLC45A4;SORL1;SPTSSB;STS;SYT12;SYT2;TACR1;TMEM132E;TMEM25;TMPPE;TRPC3;VAMP1;XKR6	0.0632787193252782
17	GO:0005887	0.0031864188161418	2.1594537815126	9.58076313543825	19	1139	integral component of plasma membrane	ACVR1C;ADCY9;ANKH;DCBLD2;IRS1;KCNA1;KCNA2;KCNC1;KCNC3;KCNJ11;LRRC4;PKD1;RET;SCN1B;SLC25A5;SORL1;TACR1;TRPC3;VAMP1	0.0770363607902517
18	GO:0030425	0.00361292945803158	2.7656922439351	4.24783615750335	11	505	dendrite	ADCY9;GCHFR;KCNA1;KCNA2;KCNC3;LRRC4;NSG1;PLXDC1;PPT1;RET;TACR1	0.0791262397855192
19	GO:0097447	0.00372200615273829	2.75419100838202	4.26465927099841	11	507	dendritic tree	ADCY9;GCHFR;KCNA1;KCNA2;KCNC3;LRRC4;NSG1;PLXDC1;PPT1;RET;TACR1	0.0791262397855192
21	GO:0034702	0.00460538043399026	3.61442329371598	2.05241984639766	7	244	ion channel complex	KCNA1;KCNA2;KCNC1;KCNC3;KCNJ11;PKD1;SCN1B	0.0877971295146701
22	GO:0044463	0.00491322135970173	2.02930284107804	10.716323296355	20	1274	cell projection part	ADCY9;ANK1;ARMC9;CCDC39;CLUAP1;GCHFR;KCNA1;KCNA2;KCNC1;KCNC3;KCNJ11;LRRC4;NSG1;PKD1;PLXDC1;PPT1;RET;SCN1A;SCN1B;TACR1	0.0877971295146701
