GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0031226	1.89373512903151e-05	2.52239028426641	14.7270977899586	32	1695	intrinsic component of plasma membrane	CACNA1H;CPLX3;CXADR;GABRA5;GABRQ;GPM6A;GRIN3A;GRM3;GRM8;KCNH7;KCNK13;KIRREL2;LRRC7;MMD;NPHS1;NPY1R;NTSR1;PCDH10;PCDH15;PCDH20;PDGFRA;PGRMC1;PLPPR3;PROKR2;PSENEN;PTGER3;PTPRA;SCN7A;SCN9A;SLC39A10;SSTR1;TRABD2A	0.00368509188922678
2	GO:0005887	1.92936748127056e-05	2.55501791156499	14.040702081754	31	1616	integral component of plasma membrane	CACNA1H;CXADR;GABRA5;GABRQ;GPM6A;GRIN3A;GRM3;GRM8;KCNH7;KCNK13;KIRREL2;LRRC7;MMD;NPHS1;NPY1R;NTSR1;PCDH10;PCDH15;PCDH20;PDGFRA;PGRMC1;PLPPR3;PROKR2;PSENEN;PTGER3;PTPRA;SCN7A;SCN9A;SLC39A10;SSTR1;TRABD2A	0.00368509188922678
3	GO:0005886	0.000107128496856508	1.89004900865614	45.1630998892064	67	5198	plasma membrane	ACTG1;AMIGO2;ARHGEF28;ATP2C2;CACNA1H;CACNA1S;CARD11;CARMIL3;CASK;CDC42SE2;CPLX3;CPNE6;CPNE7;CXADR;ENOX1;FARP1;FILIP1;GABRA5;GABRQ;GNB4;GNG10;GPM6A;GPR160;GRIN3A;GRM3;GRM8;KCNH7;KCNK13;KIRREL2;LRRC7;MARCKS;MMD;MYO16;NCAM2;NELFE;NKAIN4;NPHS1;NPY1R;NRAS;NTSR1;PCDH10;PCDH15;PCDH20;PDGFC;PDGFRA;PGRMC1;PI4K2B;PLPPR3;PROKR2;PSENEN;PTGER3;PTPRA;RAB40B;RAP2B;RASAL1;RILPL1;SCFD1;SCN7A;SCN9A;SLC39A10;SNCA;SSTR1;SYT17;TMEFF1;TMEFF2;TRABD2A;USP14	0.0126249571552604
4	GO:0030054	0.000132198504243564	2.20240297346357	17.7767799871713	34	2046	cell junction	ACTG1;ARPC5;CASK;CPEB2;CPLX3;CPNE6;CXADR;DPYSL3;FARP1;GABRA5;GABRQ;GPM6A;GRIN3A;GRM3;KIRREL2;LRRC7;MAPK15;MARCKS;NPHS1;NPY;NTSR1;PCDH15;PDGFRA;PGRMC1;PTPRA;RAB40B;RAP2B;RSU1;SNCA;STX12;SYT17;TUBA1A;TUBB2B;USP14	0.0126249571552604
5	GO:0045202	0.000185522054159546	2.43283702362947	11.5210216339145	25	1326	synapse	ACTG1;CASK;CPEB2;CPLX3;CPNE6;DPYSL3;FARP1;GABRA5;GABRQ;GPM6A;GRIN3A;GRM3;LRRC7;NPY;NTSR1;PCDH15;PGRMC1;PTPRA;RAB40B;SNCA;STX12;SYT17;TUBA1A;TUBB2B;USP14	0.0127745582906856
6	GO:0071944	0.000200647512419146	1.83778996046841	46.040643769316	67	5299	cell periphery	ACTG1;AMIGO2;ARHGEF28;ATP2C2;CACNA1H;CACNA1S;CARD11;CARMIL3;CASK;CDC42SE2;CPLX3;CPNE6;CPNE7;CXADR;ENOX1;FARP1;FILIP1;GABRA5;GABRQ;GNB4;GNG10;GPM6A;GPR160;GRIN3A;GRM3;GRM8;KCNH7;KCNK13;KIRREL2;LRRC7;MARCKS;MMD;MYO16;NCAM2;NELFE;NKAIN4;NPHS1;NPY1R;NRAS;NTSR1;PCDH10;PCDH15;PCDH20;PDGFC;PDGFRA;PGRMC1;PI4K2B;PLPPR3;PROKR2;PSENEN;PTGER3;PTPRA;RAB40B;RAP2B;RASAL1;RILPL1;SCFD1;SCN7A;SCN9A;SLC39A10;SNCA;SSTR1;SYT17;TMEFF1;TMEFF2;TRABD2A;USP14	0.0127745582906856
8	GO:0043005	0.000524396415193561	2.29201826484018	11.6252842731355	24	1338	neuron projection	ACTG1;ARPC5;CACNA1H;CPEB2;CPLX3;CPNE6;CXADR;DPYSL3;FARP1;GABRA5;GABRQ;GPM6A;GRIN3A;GRM3;LRRC7;NCAM2;NTSR1;PACRG;PCDH15;PGRMC1;SCN7A;SCN9A;SNCA;SSTR1	0.0250399288254926
9	GO:0030424	0.00121590191097298	2.75361066090402	5.48247711236807	14	631	axon	ACTG1;ARPC5;CPLX3;CPNE6;CXADR;DPYSL3;GPM6A;GRM3;LRRC7;NCAM2;NTSR1;SCN7A;SCN9A;SNCA	0.0516082811101864
13	GO:0034702	0.00404093238789585	3.33952652082709	2.53705755437635	8	292	ion channel complex	CACNA1H;CACNA1S;GABRA5;GABRQ;GRIN3A;LRRC7;SCN7A;SCN9A	0.118741244013555
14	GO:0150034	0.0051346896849094	3.20184013801035	2.64132019359729	8	304	distal axon	ACTG1;ARPC5;CPLX3;CXADR;DPYSL3;GPM6A;NTSR1;SNCA	0.125516719922827
