Gene	Class
ADAM23	RICH
ANKRD6	RICH
ATP6V1C2	RICH
BAIAP3	RICH
C3orf55	RICH
CARTPT	RICH
CCDC39	RICH
CD70	RICH
CDK1	RICH
CNTN6	RICH
CRYBA2	RICH
CTXN3	RICH
CXXC11	RICH
DMRT3	RICH
EPN3	RICH
FEZF1	RICH
FZD7	RICH
GAL	RICH
GLRA3	RICH
GNA14	RICH
GNGT2	RICH
GRP	RICH
HSD11B1	RICH
KANK4	RICH
KCNA1	RICH
KCNA3	RICH
KCNA5	RICH
KCNC1	RICH
KCTD15	RICH
KRT1	RICH
KRT31	RICH
LAIR2	RICH
LINC00238	RICH
LMOD3	RICH
LRRC38	RICH
LYPLA2	RICH
MGP	RICH
MYH7	RICH
MYLK3	RICH
NEB	RICH
NECAB2	RICH
NEFH	RICH
NEUROD6	RICH
NGFR	RICH
NOL4	RICH
NOV	RICH
NRP1	RICH
ONECUT2	RICH
PCP4	RICH
PIRT	RICH
PNMT	RICH
PRR15	RICH
PRSS35	RICH
PTGS1	RICH
RBP4	RICH
RBPMS2	RICH
RHOBTB2	RICH
RSPH9	RICH
SCARA5	RICH
SCN1B	RICH
SCN4B	RICH
SEMA7A	RICH
SHD	RICH
SHISA9	RICH
SIX3-AS1	RICH
SLC16A6	RICH
SLC22A10	RICH
SLN	RICH
SV2C	RICH
SYT10	RICH
SYT2	RICH
TDO2	RICH
TGFBI	RICH
TINCR	RICH
TLX2	RICH
TNNT2	RICH
TRIM29	RICH
TSHZ3	RICH
AMDHD1	RICH
ASGR2	RICH
CD163L1	RICH
COL5A2	RICH
CYP2C18	RICH
FAM163A	RICH
GABRA5	RICH
GALP	RICH
BPR26	RICH
GPR88	RICH
GPX3	RICH
HPCAL1	RICH
IL13RA2	RICH
ISCU	RICH
NEXN	RICH
NKAIN4	RICH
NPBWR2	RICH
ONECUT3	RICH
OR51E2	RICH
PLCH1	RICH
PVALB	RICH
SNAP25	RICH
SPHKAP	RICH
TMEM52	RICH
TSPAN8	RICH
ZCCHC18	RICH
ALOX12	RICH
CALB1	RICH
CCBE1	RICH
CD6	RICH
CDR2L	RICH
CPLX1	RICH
ENPP6	RICH
GMPR	RICH
GOLT1A	RICH
GPR20	RICH
HOXD1	RICH
HPCAL1	RICH
IL33	RICH
IQCJ	RICH
KLK1	RICH
KLK8	RICH
LGR6	RICH
LINC00617	RICH
MS4A8	RICH
MYBPC1	RICH
NUPR1L	RICH
PYDC1	RICH
RTP1	RICH
SEMA3C	RICH
SH3RF2	RICH
SLC16A5	RICH
SLC20A2	RICH
SLC39A12	RICH
SOST	RICH
WISP1	RICH
WISP2	RICH
WNT4	RICH
